match_id,map_name,stage,circle_x,circle_y,circle_radius,next_circle_x,next_circle_y,next_circle_radius,final_zone
9c5a60902868d49b3fa4e7fcf4a55204,worlds_edge,1,9680,9409,4825,9170,11707,2367,south
53dd02c22a903418ed1d713c2e362241,storm_point,1,7520,6120,4894,7138,3663,2407,north
34f96c1ef63d4ec49c658247abda9b90,storm_point,1,6370,7774,4894,3990,7055,2407,west
86f40d5621f17fb8992cb1c1fc5f7072,storm_point,1,9333,8343,4974,9380,6358,2407,center
85afd33d4c0818dbfb46565d0e7651df,worlds_edge,1,7921,6137,4825,9603,4345,2367,north
1f138d6bacd8ebb7cc785df9254d9044,storm_point,1,6271,7207,4894,4267,5733,2407,west
c658b287f63fc0912506e501da46d4b3,storm_point,1,7583,8802,4974,9566,7558,2407,center
e13ff82b30ca7873af69e911214e75aa,storm_point,1,8503,6036,4974,6490,7235,2407,center
2181150bfc6ad1271d45bf5ab6b7d0db,storm_point,1,8710,5945,4894,9092,3487,2407,north
2f2c9bc8a94e29a0b84943550191ab0f,storm_point,1,6351,6477,4974,8311,6645,2407,center
7fbaabeb11b8a13d64d15c86d7570b90,storm_point,1,10278,7569,4974,12174,9298,2407,east
ab38e3524dd2a695abff00caee3e6219,worlds_edge,1,7153,8314,4825,5187,9668,2367,west
904f4b04f9b4d5ea9a7351634ebba425,worlds_edge,1,9310,11516,4825,11136,13161,2367,south
e933a1c9aae56c87b3b998bd24fc0e13,storm_point,1,5759,7366,4974,3948,5548,2407,west
d46f6b14e259e98d2265c4102227562a,worlds_edge,1,7094,9297,4825,8783,7762,2367,center
f3dc438c04e9c858f187c68652dbbfa7,storm_point,1,9883,7810,4894,12034,6563,2407,east
949aabd4dee5ed543f7b44f272f9a90e,storm_point,1,9669,7853,4894,12127,8232,2407,east
a8112f385441f1f86deba10d4458f4ae,storm_point,1,8877,6129,4894,9823,8142,2407,center
dcf75e32e1f80a2c950daf9496c76f2e,storm_point,1,9449,8074,4894,11356,9671,2407,east
5a20631a487216978f4902b50d8261a4,storm_point,1,7862,7968,4894,5452,8581,2407,center
170bb9ddaf5a8498b9e720e23790d27c,worlds_edge,1,6891,6954,4825,6554,4519,2367,north
c9d5d20b6ca449b859a63e9b67e50f48,storm_point,1,5924,9177,4974,3379,9508,2407,west
